station_id,name,address,district,lat,long,bike_stands,available_bikes,status,last_update
7039,7039 - GUILLOTIÈRE / MADELEINE,"106, Grande Rue de la Guillotière",Lyon 7e Arrondissement,45.751073,4.848018,10,9,OPEN,2025-12-26T21:34:45+01:00
2012,2012 - GAILLETON,"3, Place Gailleton",Lyon 2e Arrondissement,45.753455,4.833367,16,13,OPEN,2025-12-26T21:28:20+01:00
7006,7006 - GERLAND,"Face 317, Avenue Jean Jaurès",Lyon 7e Arrondissement,45.727494,4.831145,40,2,OPEN,2025-12-26T21:32:20+01:00
8023,8023 - MERMOZ / PINEL,"161, Avenue Jean Mermoz",Lyon 8e Arrondissement,45.730788,4.887513,23,2,OPEN,2025-12-26T21:34:01+01:00
8011,8011 - PLACE LEBRET,Place Lebret,Lyon 8e Arrondissement,45.735653,4.853042,14,10,OPEN,2025-12-26T21:31:20+01:00
1006,1006- SUBSISTANCES,"14, Quai Saint Vincent",Lyon 1er Arrondissement,45.767912,4.819872,22,13,OPEN,2025-12-26T21:32:26+01:00
4002,4002 - MAIRIE DU 4E,"133, Boulevard de la Croix-Rousse",Lyon 4e Arrondissement,45.774193,4.827743,20,9,OPEN,2025-12-26T21:35:03+01:00
20003,20003 - OULLINS - PONT BLANC,"Face 56, Boulevard de l'Yzeron",Oullins,45.720156,4.798426,24,5,OPEN,2025-12-26T21:34:07+01:00
3081,3081 - PART-DIEU / FRANCFORT,"27, Rue Maurice Flandin",Lyon 3e Arrondissement,45.760689,4.863069,28,1,OPEN,2025-12-26T21:26:43+01:00
4007,4007 - PLACE FLAMMARION,Place Camille Flammarion,Lyon 4e Arrondissement,45.779332,4.820259,18,1,OPEN,2025-12-26T21:31:17+01:00
30002,30002 - RILLIEUX - LOUP PENDU,"122, Avenue de l'Hippodrome",Rillieux-la-Pape,45.8167509779391,4.88871930286496,20,4,OPEN,2025-12-26T21:36:32+01:00
3011,3011 - PART-DIEU / CUIRASSIERS,Rue Docteur Bouchut,Lyon 3e Arrondissement,45.75991,4.857555,40,3,OPEN,2025-12-26T21:28:52+01:00
10092,10092 - MONTGOLFIER / CHATEAU GAILLARD,"135, Rue Château Gaillard",Villeurbanne,45.771561,4.890378,17,3,OPEN,2025-12-26T21:33:19+01:00
10024,10024 - MAISONS NEUVES,"34-36, Place des Maisons Neuves",Villeurbanne,45.755988,4.877409,23,11,OPEN,2025-12-26T21:32:06+01:00
3013,3013 - PLACE ANTOINETTE,Place Antoinette,Lyon 3e Arrondissement,45.753683,4.889285,21,4,OPEN,2025-12-26T21:34:31+01:00
10008,10008 - SALENGRO / VAILLANT,"108, Avenue Roger Salengro",Villeurbanne,45.778385,4.879673,24,8,OPEN,2025-12-26T21:31:53+01:00
3083,3083 - LES HALLES,"183, Rue André Philip",Lyon 3e Arrondissement,45.761595,4.850477,18,12,OPEN,2025-12-26T21:36:08+01:00
6024,6024 - TRONCHET / ANATOLE FRANCE,"115, Rue Tronchet",Lyon 6e Arrondissement,45.770743,4.856713,10,10,OPEN,2025-12-26T21:33:36+01:00
8006,8006 - PLACE DU 8 MAI 1945,Rue Professeur Beauvisage,Lyon 8e Arrondissement,45.729771,4.868157,20,2,OPEN,2025-12-26T21:33:20+01:00
23001,23001 - TASSIN - TUILERIES,"13, Promenade des Tuileries",Tassin-la-Demi-Lune,45.763244,4.778641,12,3,OPEN,2025-12-26T21:26:46+01:00
9052,9052 - BALMONT,"Face 368, Boulevard de Balmont",Lyon 9e Arrondissement,45.789194,4.799308,12,6,OPEN,2025-12-26T21:32:35+01:00
12002,12002 - VAULX - POUDRETTE / LA SOIE,"Face 2, Rue de la Poudrette",Vaulx-en-Velin,45.76438,4.919276,20,15,OPEN,2025-12-26T21:35:09+01:00
6033,6033 - CRÉQUI / LAFAYETTE,"153, Rue de Créqui",Lyon 6e Arrondissement,45.763755,4.847082,15,6,OPEN,2025-12-26T21:32:09+01:00
10012,10012 - ZOLA / FRANCE,"230, Cours Emile Zola",Villeurbanne,45.767957,4.887232,16,8,OPEN,2025-12-26T21:35:33+01:00
10124,10124 - SALENGRO / YVONNE,"1, Rue Georges Courteline",Villeurbanne,45.7772936957677,4.87675865740856,24,7,OPEN,2025-12-26T21:31:34+01:00
10123,10123 - SAINT JEAN CANAL,"19, Rue Saint Jean",Villeurbanne,45.776646,4.902366,12,10,OPEN,2025-12-26T21:33:45+01:00
4022,4022 - PLACE DE LA CROIX-ROUSSE,"Face 10, Place de la Croix-Rousse",Lyon 4e Arrondissement,45.77608,4.832543,21,13,OPEN,2025-12-26T21:31:15+01:00
10047,10047 - LHERMINIER / PRESSENSÉ,"2, Avenue du Commandant L'Herminier",Villeurbanne,45.771143,4.88504,15,7,OPEN,2025-12-26T21:32:47+01:00
7021,7021 - CHALLEMEL LACOUR / GERLAND,"Face 174, Rue de Gerland",Lyon 7e Arrondissement,45.729791,4.838138,12,5,OPEN,2025-12-26T21:32:23+01:00
3004,3004 - BOURSE DU TRAVAIL,"Face 74, Rue de la Part-Dieu",Lyon 3e Arrondissement,45.759648,4.848139,27,15,OPEN,2025-12-26T21:30:03+01:00
3016,3016 - LIBERTÉ / PART-DIEU,"34, Cours de la Liberté",Lyon 3e Arrondissement,45.759361,4.842308,9,0,OPEN,2025-12-26T21:26:50+01:00
2003,2003 - PLACE AMPÈRE,"18, Rue Bourgelat",Lyon 2e Arrondissement,45.753049,4.828297,10,7,OPEN,2025-12-26T21:30:19+01:00
7017,7017 - BEAUVOIR / MAROT,"26, Rue Simone de Beauvoir",Lyon 7e Arrondissement,45.73674,4.834106,20,11,OPEN,2025-12-26T21:29:54+01:00
19001,19001 - ST GENIS L. - MÉDIATHÈQUE,"49, Avenue Georges Clémenceau",Saint-Genis-Laval,45.697863,4.794658,12,6,OPEN,2025-12-26T21:33:30+01:00
6003,6003 - AVENUE VERGUIN,"Face 14, Avenue Verguin",Lyon 6e Arrondissement,45.772846,4.856274,20,20,OPEN,2025-12-26T21:29:12+01:00
7015,7015 - TECHSUD,"Face 2, Rue Professeur Jean Bernard",Lyon 7e Arrondissement,45.7228,4.842706,12,2,OPEN,2025-12-26T21:35:54+01:00
8024,8024 - MERMOZ / MICHELET,"66, Avenue Jean Mermoz",Lyon 8e Arrondissement,45.733317,4.878607,12,9,OPEN,2025-12-26T21:33:07+01:00
7026,7026 - BALDASSINI / GERLAND,"25, Rue Jean Baldassini",Lyon 7e Arrondissement,45.727691,4.8373919999999995,20,2,OPEN,2025-12-26T21:28:38+01:00
24001,24001 - ECULLY - MAIRIE,Place de la Libération,Écully,45.775112,4.778531,12,0,OPEN,2025-12-26T21:36:25+01:00
7007,7007 - FARGE / AYASSE,"117, Boulevard Yves Farge",Lyon 7e Arrondissement,45.735741,4.827725,20,3,OPEN,2025-12-26T21:29:56+01:00
8038,8038 - ALBERT THOMAS / VILLON,"64, Cours Albert Thomas",Lyon 8e Arrondissement,45.746691,4.867501,20,20,OPEN,2025-12-26T21:33:46+01:00
10072,10072 - JACQUES BREL,"Face 4, Rue Jacques Brel",Villeurbanne,45.774228,4.864269,23,1,OPEN,2025-12-26T21:28:52+01:00
18001,18001 - PIERRE BÉNITE - EUROPE,"22, Rue Voltaire",Pierre-Bénite,45.703245,4.821204,15,10,OPEN,2025-12-26T21:29:44+01:00
6020,6020 - MUSÉE GUIMET,"28, Boulevard des Belges",Lyon 6e Arrondissement,45.774526,4.848443,15,14,OPEN,2025-12-26T21:27:45+01:00
12001,12001 - VAULX - LA SOIE,"49, Rue de la Poudrette",Vaulx-en-Velin,45.760908,4.920569,25,20,OPEN,2025-12-26T21:36:02+01:00
10055,10055 - CONDORCET / GALLINE,"Face 16, Avenue Galline",Villeurbanne,45.776428,4.866976,15,2,OPEN,2025-12-26T21:31:43+01:00
6025,6025 - PLACE D'HELVÉTIE,"Face 5, Place d'Helvétie",Lyon 6e Arrondissement,45.773232,4.841949,30,23,OPEN,2025-12-26T21:36:10+01:00
3094,3094 - VILLETTE,"74, Rue de la Villette",Lyon 3e Arrondissement,45.757808,4.861512,38,2,OPEN,2025-12-26T21:36:06+01:00
5044,5044 - CHAMPVERT,"67, Rue Docteur Edmond Locard",Lyon 5e Arrondissement,45.760056,4.798366,15,1,OPEN,2025-12-26T21:34:23+01:00
3069,3069 - DAUPHINÉ / SAINT-MAXIMIN,"10, Rue du Dauphiné",Lyon 3e Arrondissement,45.750002,4.864587,30,29,OPEN,2025-12-26T21:31:24+01:00
10006,10006 - CHARPENNES,"3, Place Charles Hernu",Villeurbanne,45.770224999999996,4.863102,46,39,OPEN,2025-12-26T21:35:51+01:00
9011,9011 - CONSERVATOIRE,"Face 40, Quai Chauveau",Lyon 9e Arrondissement,45.769803,4.8126809999999995,19,11,OPEN,2025-12-26T21:35:22+01:00
21001,21001 - LA MULATIERE - AQUARIUM,Rue Stéphane Déchant,La Mulatière,45.727309,4.814779,24,8,OPEN,2025-12-26T21:35:36+01:00
9015,9015 - SAINT-CYR,"51t, Rue de Saint-Cyr",Lyon 9e Arrondissement,45.782855,4.807288,30,4,OPEN,2025-12-26T21:30:55+01:00
6012,6012 - PLACE PUVIS DE CHAVANNES,"Face 5, Place Puvis de Chavannes",Lyon 6e Arrondissement,45.771794,4.84459,10,7,OPEN,2025-12-26T21:35:16+01:00
8009,8009 - JEAN XXIII / MERMOZ,"Face 74, Boulevard Jean XXIII",Lyon 8e Arrondissement,45.73648,4.869789,20,2,OPEN,2025-12-26T21:27:54+01:00
3036,3036 - FELIX FAURE / VIVIER MERLE,"Face 106, Avenue Félix Faure",Lyon 3e Arrondissement,45.75381,4.859795,34,0,CLOSED,2025-12-26T21:36:25+01:00
10073,10073 - INSTITUT D'ART CONTEMPORAIN,"21, Rue Docteur Dolard",Villeurbanne,45.761468,4.872466,25,0,OPEN,2025-12-26T21:33:54+01:00
2035,2035 - CHILDEBERT / RIVIÈRE,"2, Rue Marcel-Gabriel Rivière",Lyon 2e Arrondissement,45.759842,4.835776,23,19,OPEN,2025-12-26T21:35:23+01:00
9014,9014 - QUAI DU COMMERCE,"Face 18, Quai du Commerce",Lyon 9e Arrondissement,45.7820006188352,4.81043960203213,30,4,OPEN,2025-12-26T21:35:23+01:00
3097,3097 - AUGAGNEUR / FOSSE AUX OURS,Quai Victor Augagneur,Lyon 3e Arrondissement,45.7566535,4.8404787,40,32,OPEN,2025-12-26T21:35:29+01:00
9022,9022 - MASARYK / SAINT-CYR,"5, Rue Masaryk",Lyon 9e Arrondissement,45.778639,4.8071,13,11,OPEN,2025-12-26T21:34:23+01:00
3138,3138 - VIVIER MERLE / PAUL BERT OUEST,"Face 65, Boulevard Marius Vivier-Merle",Lyon 3e Arrondissement,45.757484,4.858386,19,1,OPEN,2025-12-26T21:34:44+01:00
10112,10112 - PLACE DE LA RECONNAISSANCE,"109, Route de Genas",Villeurbanne,45.754415,4.885249,32,10,OPEN,2025-12-26T21:32:23+01:00
4024,4024 - LYON METROPOLE,"Face 84, Quai Joseph Gillet ",Lyon 4e Arrondissement,45.788204,4.818572,25,12,OPEN,2025-12-26T21:35:07+01:00
15001,15001 - ST PRIEST - PARC TECHNOLOGIQUE,"312, Cours du 3ème Millénaire",Saint-Priest,45.714426,4.930975,20,14,OPEN,2025-12-26T21:36:06+01:00
8041,8041 - ETATS-UNIS / VIVIANI,"170, Boulevard des Etats-Unis",Lyon 8e Arrondissement,45.724775,4.870745,20,10,OPEN,2025-12-26T21:31:52+01:00
2008,2008 - PLACE ANTONIN PONCET,"1, Place Antonin Poncet",Lyon 2e Arrondissement,45.756775,4.833917,40,37,OPEN,2025-12-26T21:27:23+01:00
7019,7019 - CROIX BARRET / BOURDEIX,"5, Rue Croix-Barret",Lyon 7e Arrondissement,45.736722,4.841079,32,4,OPEN,2025-12-26T21:33:03+01:00
1005,1005 - MEISSONNIER,"3, Place Meissonnier",Lyon 1er Arrondissement,45.766073,4.8328489999999995,16,8,OPEN,2025-12-26T21:32:08+01:00
6040,6040 - LES HALLES,"Face 149, Rue Boileau",Lyon 6e Arrondissement,45.764013,4.849933,15,1,OPEN,2025-12-26T21:30:33+01:00
10044,10044 - ROCARD OCTAVIE,"16, Rue Michel Rocard",Villeurbanne,45.7809037283842,4.88958755288143,25,6,OPEN,2025-12-26T21:29:12+01:00
2022,2022 - PLACE CARNOT,"23, Place Carnot",Lyon 2e Arrondissement,45.751233,4.82688,30,27,OPEN,2025-12-26T21:36:25+01:00
4014,4014 - PHILIPPE DE LASSALLE / PILLEMENT,"Face 38, Rue Philippe de Lassalle",Lyon 4e Arrondissement,45.777431,4.820526,13,3,OPEN,2025-12-26T21:34:16+01:00
7036,7036 - GRYPHE / MONTESQUIEU,"37, Rue Sébastien Gryphe",Lyon 7e Arrondissement,45.751902,4.843812,25,19,OPEN,2025-12-26T21:34:38+01:00
9029,9029 - SAINT PIERRE DE VAISE,Place Alfred Vanderpol,Lyon 9e Arrondissement,45.773125,4.807831,15,3,OPEN,2025-12-26T21:28:56+01:00
3099,3099 - PLACE SAINTE ANNE,"2, Place Saint Anne",Lyon 3e Arrondissement,45.757042,4.8653200000000005,18,2,OPEN,2025-12-26T21:33:57+01:00
8001,8001 - UNIVERSITÉ LYON III,"1, Rue Professeur Rollet",Lyon 8e Arrondissement,45.748535,4.861533,36,9,OPEN,2025-12-26T21:31:28+01:00
3005,3005 - SAXE / GAMBETTA,"1, Place Victor Basch",Lyon 3e Arrondissement,45.75377,4.848043,26,13,OPEN,2025-12-26T21:31:07+01:00
555,0-555 - ATELIER VÉLO'V,,,45.780403,4.904869,3,0,OPEN,2025-12-26T21:34:16+01:00
8033,8033 - BERTHELOT / CAZENEUVE,"11, Rue Paul Cazeneuve",Lyon 8e Arrondissement,45.737481,4.865503,20,1,OPEN,2025-12-26T21:33:53+01:00
10058,10058 - MÉTRO FLACHET,"276, Cours Emile Zola",Villeurbanne,45.767051,4.892467,22,17,OPEN,2025-12-26T21:35:24+01:00
8010,8010 - PLACE MENDÈS FRANCE,"95, Avenue de l'Europe",Lyon 8e Arrondissement,45.740052,4.8594100000000005,20,2,OPEN,2025-12-26T21:29:26+01:00
3067,3067 - HACHETTE,"2, Rue Jean Renoir",Lyon 3e Arrondissement,45.752907,4.863923,15,11,OPEN,2025-12-26T21:28:13+01:00
7055,7055 - SERVANT / JABOULAY,"30, Rue Renan",Lyon 7e Arrondissement,45.746779,4.842051,16,4,OPEN,2025-12-26T21:31:23+01:00
17002,17002 - ST FONS - 4 CHEMINS,Place des Quatre Chemins,Saint-Fons,45.708561,4.854821,11,7,OPEN,2025-12-26T21:33:40+01:00
5002,5002 - PLACE DES COMPAGNONS DE LA CHANSON,Place des Compagnons de la Chanson,Lyon 5e Arrondissement,45.756535,4.796616,18,5,OPEN,2025-12-26T21:31:39+01:00
10084,10084 - DOUA / AVENUE DES ARTS,"2, Avenue des Arts",Villeurbanne,45.783533,4.871294,30,7,OPEN,2025-12-26T21:33:42+01:00
9042,9042 - VAISE DOCKS,"Face 50, Rue des Docks",Lyon 9e Arrondissement,45.786533,4.811446,19,14,OPEN,2025-12-26T21:29:09+01:00
7013,7013 - HALLE TONY GARNIER,"8, Avenue Tony Garnier",Lyon 7e Arrondissement,45.730786,4.823733,20,8,OPEN,2025-12-26T21:31:15+01:00
14003,14003 - BRON - PLACE CURIAL,"70, Avenue Maréchal de Lattre de Tassigny",Bron,45.736633,4.917009,25,2,OPEN,2025-12-26T21:32:14+01:00
11003,11003 - CALUIRE - LA ROCHETTE,Place de la Rochette,Caluire-et-Cuire,45.791748,4.823595,20,1,OPEN,2025-12-26T21:32:58+01:00
3039,3039 - PLACE BIR-HAKEIM,"Face 2, Place Bir-Hakeim",Lyon 3e Arrondissement,45.752553,4.8557559999999995,19,15,OPEN,2025-12-26T21:34:53+01:00
10023,10023 - JAURES SAINT EXUPERY,"54, Rue Jean Jaurès",Villeurbanne,45.757646,4.883377,25,3,OPEN,2025-12-26T21:30:18+01:00
3053,3053 - GAMBETTA / JUSSERAND,"97, Avenue Jules Jusserand",Lyon 3e Arrondissement,45.751123,4.855604,13,12,OPEN,2025-12-26T21:30:13+01:00
2040,2040 - ST ANTOINE / GRENETTE,"12, Quai Saint Antoine",Lyon 2e Arrondissement,45.7633761875017,4.83212534541183,23,1,OPEN,2025-12-26T21:32:39+01:00
20002,20002 - OULLINS - MAIRIE,"4, Rue Etienne Dolet",Oullins,45.714039,4.806642,18,8,OPEN,2025-12-26T21:32:21+01:00
2024,2024 - HERRIOT / MAUPIN,"98, Rue du Président Edouard Herriot",Lyon 2e Arrondissement,45.7590315857425,4.83390624960752,24,17,OPEN,2025-12-26T21:35:49+01:00
1035,1035 - QUAI LASSAGNE,"3, Quai André Lassagne",Lyon 1er Arrondissement,45.772191,4.837917,16,2,OPEN,2025-12-26T21:35:39+01:00
2014,2014 - JACOBINS,"1, Rue Jean de Tournes",Lyon 2e Arrondissement,45.760762,4.834305,26,24,OPEN,2025-12-26T21:32:48+01:00
6037,6037 - CITÉ INTERNATIONALE / INTERPOL,"200, Quai Charles de Gaulle",Lyon 6e Arrondissement,45.782287,4.849378,27,3,OPEN,2025-12-26T21:33:54+01:00
10083,10083 - CHATEAU GAILLARD / BIENVENUS,"Face 31, Rue des Bienvenus",Villeurbanne,45.777873,4.884238,15,8,OPEN,2025-12-26T21:32:45+01:00
2017,2017 - RÉPUBLIQUE / FERRANDIÈRE,"Face 30, Rue Ferrandière",Lyon 2e Arrondissement,45.762184,4.836023,25,9,OPEN,2025-12-26T21:31:23+01:00
8057,8057 - VIENNE / MONTAGNY,"186, Route de Vienne",Lyon 8e Arrondissement,45.732483,4.853406,20,7,OPEN,2025-12-26T21:35:44+01:00
3051,3051 - PLACE HENRI,Place Henri,Lyon 3e Arrondissement,45.748193,4.880641,13,12,OPEN,2025-12-26T21:35:47+01:00
7014,7014 - MARSEILLE / FÉLISSENT,"3, Rue Félissent",Lyon 7e Arrondissement,45.752989,4.841417,30,13,OPEN,2025-12-26T21:32:52+01:00
9006,9006 - THÉÂTRE NOUVELLE GÉNÉRATION,"Face 2, Rue Tissot",Lyon 9e Arrondissement,45.777287,4.803297,16,1,OPEN,2025-12-26T21:30:18+01:00
